name	Signal Background	Expression Potential
AT1G10920	0.0	4.330273
AT1G12210	0.042657156	3.5477474
AT1G12220	0.0	4.2339997
AT1G12280	0.0	4.5185533
AT1G12290	0.0	4.031049
AT1G15890	0.0	3.669039
AT1G17600	0.0	4.2959943
AT1G27170	0.028572498	3.8519313
AT1G27180	0.028642805	3.9000652
AT1G50180	0.0	2.8986151
AT1G51480	0.0	2.1866665
AT1G53350	0.0	3.9815052
AT1G56510	0.0	6.5945644
AT1G56520	0.0	4.6812677
AT1G56540	0.0	3.511913
AT1G58390	0.0	1.7037201
AT1G58400	0.0	4.046439
AT1G58410	0.0	4.0573306
AT1G59620	0.0	4.964338
AT1G59780	0.0	4.3662105
AT1G63350	0.0	4.274536
AT1G63360	0.0	5.6917205
AT1G63730	0.0	3.7011144
AT1G63740	0.028576713	4.1590877
AT1G63750	0.0	4.943156
AT1G63870	0.0	2.278624
AT1G63880	0.0	6.1140313
AT1G64070	0.0	0.91263044
AT1G65850	0.0	2.4224548
AT1G72840	0.0	4.3220086
AT1G72860	0.0	2.497205
AT2G16870	0.0	3.5181785
AT2G17060	0.0	3.6749518
AT3G04220	0.0	4.4401655
AT3G07040	0.0	4.1879263
AT3G14460	0.0	2.7747245
AT3G14470	0.0	4.5875936
AT3G25510	0.0	2.7912583
AT3G46710	0.0	2.4137533
AT3G46730	0.0	3.036744
AT3G50950	0.07121733	7.9008813
AT3G51560	0.0	2.073764
AT3G51570	0.0	2.9439228
AT4G08450	0.0	2.2814932
AT4G09430	0.0	2.003988
AT4G10780	0.0	0.7174685
AT4G11170	0.0	5.3613305
AT4G12010	0.014357664	4.2475314
AT4G14370	0.0	5.408369
AT4G16900	0.0	4.501935
AT4G16940	0.0	4.1821632
AT4G16960	0.014359707	5.437208
AT4G19050	0.0	3.1217554
AT4G19510	0.20280418	5.49618
AT4G19530	0.0	6.7842054
AT4G26090	0.0	4.6438746
AT4G27190	0.0	0.5658268
AT4G27220	0.0	0.9671157
AT4G33300	0.056782234	7.2425404
AT4G36150	0.0	4.1990666
AT5G04720	0.09761649	6.959203
AT5G05400	0.0	4.3939657
AT5G11250	0.0	4.844458
AT5G17680	0.0	2.6123607
AT5G17880	0.0	5.185696
AT5G17890	0.0	5.050281
AT5G17970	0.0	0.95917284
AT5G18350	0.0	2.4886885
AT5G18360	0.0	3.793575
AT5G18370	0.0	3.4175115
AT5G22690	0.042648472	5.278608
AT5G35450	0.028569631	4.8823886
AT5G36930	0.0	4.8923445
AT5G38340	0.0	3.894406
AT5G38850	0.043581717	4.64542
AT5G40100	0.0	4.048534
AT5G40910	0.18911768	5.863373
AT5G41540	0.0	1.5565269
AT5G41550	0.0	4.1128182
AT5G43730	0.05671775	3.9364042
AT5G44510	0.0	4.5019693
AT5G44870	0.0	5.410194
AT5G45050	0.22661343	4.3883557
AT5G45060	0.028624091	4.910385
AT5G45200	0.0	2.9111447
AT5G45210	0.0	4.6244407
AT5G45230	0.0	0.28705034
AT5G45250	0.0	4.9820614
AT5G45260	0.0	4.292437
AT5G46260	0.0	4.29646
AT5G46270	0.0	4.582442
AT5G46450	0.0	5.187484
AT5G46490	0.0	5.940954
AT5G47250	0.0	3.8227804
AT5G47260	0.0	3.628311
AT5G47280	0.0	3.7774634
AT5G48770	0.0	3.0114288
AT5G49140	0.0	1.5044638
AT5G51630	0.0	5.107337
AT5G58120	0.014432074	5.6223807
AT5G63020	0.014357493	5.3603096
AT5G66900	0.0	5.3891916
AT5G66910	0.0	5.59471
AT1G31540	0.0	6.203888
AT1G58602	0.0	7.4858947
AT1G58807	0.0	6.9093122
AT1G58848	0.0	6.1662703
AT1G59124	0.0	4.943478
AT1G59218	0.0	5.555713
AT1G61180	0.0	4.9416733
AT1G61190	0.0	6.4891543
AT1G61300	0.0	5.5309553
AT1G61310	0.0	5.040902
AT1G62630	0.0	5.510167
AT1G69550	0.0	4.547682
AT2G14080	0.0	5.580423
AT3G44400	0.05658877	5.764604
AT3G44480	0.25096527	6.327536
AT3G44630	0.321957	6.4043593
AT3G44670	0.17689978	6.1068363
AT3G46530	0.0	6.1526914
AT4G16860	0.0	7.016906
AT4G16890	0.20183377	7.214742
AT4G16920	0.0	5.6045294
AT4G16950	0.36557835	7.1351037
AT5G38350	0.0	4.068812
AT5G41740	0.0	6.7746935
AT5G41750	0.028623248	7.2558327
AT5G43470	0.0	6.6798286
AT5G43740	0.0	4.5223765
AT5G46510	0.0	4.9279404
AT5G46520	0.0	4.846663
AT5G48620	0.0426458	6.7178683
