	Gene Name	Gene Start (bp)	Gene End (bp)	length
0	AT1G23960	8478391	8480356	1965
1	AT1G23965	8480422	8481599	1177
2	AT1G23970	8481997	8483875	1878
3	AT1G24020	8500119	8502065	1946
4	AT1G23980	8484703	8486002	1299
5	AT1G23985	8485337	8487029	1692
6	AT1G23995	8487048	8487347	299
7	AT1G24030	8503217	8505460	2243
8	AT1G24040	8503777	8506837	3060
9	AT1G24050	8506968	8508909	1941
10	AT1G24060	8509736	8510056	320
11	AT1G24062	8510401	8510967	566
12	AT1G24090	8520443	8523193	2750
13	AT1G24095	8523225	8524929	1704
14	AT1G24110	8527714	8529018	1304
15	AT1G24120	8529064	8532262	3198
16	AT1G24130	8534146	8535660	1514
17	AT1G24145	8540838	8542053	1215
18	AT1G24159	8552775	8553385	610
19	AT1G24160	8553313	8556750	3437
20	AT1G24200	8571173	8572377	1204
21	AT1G24210	8573544	8575184	1640
22	AT1G24220	8578658	8582767	4109
23	AT1G24230	8584039	8585135	1096
24	AT1G24260	8593536	8596123	2587
25	AT1G24240	8586335	8588180	1845
26	AT1G24250	8588295	8589546	1251
27	AT1G24256	8592078	8592989	911
28	AT1G24265	8600391	8603913	3522
29	AT1G24267	8604022	8607484	3462
30	AT1G24270	8607851	8608763	912
31	AT1G24290	8612505	8614283	1778
32	AT1G24300	8614363	8620664	6301
33	AT1G24310	8624014	8626405	2391
34	AT1G24320	8626315	8631027	4712
35	AT1G24330	8631206	8635055	3849
36	AT1G24350	8638520	8640825	2305
37	AT1G24340	8635187	8638986	3799
38	AT1G24360	8640582	8643503	2921
39	AT1G24380	8646056	8647674	1618
40	AT1G24388	8648099	8648694	595
41	AT1G24420	8656021	8657997	1976
42	AT1G24440	8661838	8664007	2169
43	AT1G24475	8676282	8676343	61
44	AT1G24480	8676360	8677228	868
45	AT1G24485	8678858	8681894	3036
46	AT1G24510	8685271	8688247	2976
47	AT1G24530	8692630	8694705	2075
48	AT1G24560	8702361	8705879	3518
49	AT1G24570	8706800	8709782	2982
50	AT1G24575	8710847	8711578	731
51	AT1G24577	8712478	8713225	747
52	AT1G24580	8709941	8710824	883
53	AT1G24660	8740205	8740469	264
54	AT2G04305	1501372	1503827	2455
55	AT1G24735	8757864	8759645	1781
56	AT1G24800	8769511	8771553	2042
57	AT1G24807	8771370	8773535	2165
58	AT1G24822	8774997	8777882	2885
59	AT1G24851	8778280	8780257	1977
60	AT1G24881	8784036	8785634	1598
61	AT1G24909	8785785	8787914	2129
62	AT1G25025	8800808	8801584	776
63	AT1G25097	8811733	8814788	3055
64	AT1G25112	8815186	8815962	776
65	AT1G25141	8817678	8818395	717
66	AT1G25155	8822692	8824821	2129
67	AT1G25180	8829564	8831390	1826
68	AT1G25211	8835386	8837007	1621
69	AT1G25230	8840203	8842445	2242
70	AT1G25240	8845142	8846726	1584
71	AT2G04340	1513490	1515594	2104
72	AT1G25250	8849034	8851790	2756
73	AT1G25260	8853534	8855874	2340
74	AT1G25275	8860527	8861522	995
75	AT1G25277	8861734	8862797	1063
76	AT1G25300	8871568	8872386	818
77	AT1G25320	8877790	8880388	2598
78	AT1G25360	8894380	8897124	2744
79	AT1G25370	8897564	8899111	1547
80	AT1G25375	8900110	8903428	3318
81	AT1G25390	8906029	8909334	3305
82	AT1G25380	8903405	8906455	3050
83	AT1G25400	8911096	8912822	1726
84	AT1G25420	8915915	8918267	2352
85	AT1G25422	8918789	8919892	1103
86	AT1G25460	8942713	8944442	1729
87	AT1G25480	8948232	8951031	2799
88	AT1G25500	8955195	8958132	2937
89	AT1G25510	8959087	8961183	2096
90	AT1G25520	8962087	8964564	2477
91	AT1G25530	8964544	8967562	3018
92	AT1G25550	8976326	8978305	1979
93	AT1G25570	8991708	8995617	3909
94	AT1G25580	8996714	8999917	3203
95	AT1G25682	9002285	9004762	2477
96	AT1G25988	9016252	9017450	1198
97	AT1G26090	9020380	9022769	2389
98	AT1G26100	9022542	9024081	1539
99	AT1G26110	9024341	9027955	3614
100	AT1G26130	9033016	9039099	6083
101	AT1G26140	9038708	9039540	832
102	AT1G26160	9044422	9047049	2627
103	AT1G26170	9047292	9054703	7411
104	AT1G26180	9054673	9056941	2268
105	AT1G26190	9057095	9061140	4045
106	AT1G26200	9063306	9065320	2014
107	AT1G26220	9071140	9071861	721
108	AT1G26225	9072634	9072835	201
109	AT1G26240	9077874	9079646	1772
110	AT1G26270	9089469	9092560	3091
111	AT1G26290	9097643	9098964	1321
112	AT1G26300	9095768	9099766	3998
113	AT1G26320	9105038	9107231	2193
114	AT1G26330	9107519	9113747	6228
115	AT1G26350	9116010	9116781	771
116	AT1G26370	9121443	9125578	4135
117	AT1G26450	9148636	9150250	1614
118	AT1G26460	9151628	9154762	3134
119	AT1G26470	9155091	9156370	1279
120	AT1G26510	9159851	9161044	1193
121	AT1G26515	9161810	9162910	1100
122	AT1G26520	9163211	9165900	2689
123	AT1G26530	9165360	9167570	2210
124	AT1G26540	9167549	9170953	3404
125	AT1G26550	9171118	9173033	1915
126	AT1G26580	9184567	9187578	3011
127	AT1G26590	9188945	9190896	1951
128	AT1G26610	9193327	9195382	2055
129	AT1G26620	9195512	9199671	4159
130	AT1G26640	9207383	9209902	2519
131	AT1G26650	9210051	9211588	1537
132	AT1G26660	9211599	9214004	2405
133	AT1G26665	9214072	9215557	1485
134	AT1G26680	9219460	9223795	4335
135	AT1G26690	9224059	9225792	1733
136	AT1G26700	9227378	9232437	5059
137	AT1G26710	9232328	9233206	878
138	AT1G26720	9234099	9234939	840
139	AT1G26730	9241036	9244918	3882
140	AT1G26740	9244981	9246652	1671
141	AT1G26762	9253599	9254167	568
142	AT1G26773	9264404	9264580	176
143	AT1G26790	9273684	9275193	1509
144	AT1G26800	9285025	9286395	1370
145	AT1G26815	9290870	9291301	431
146	AT1G26850	9300806	9304328	3522
147	AT1G26880	9315305	9318277	2972
148	AT1G26890	9317589	9319246	1657
149	AT1G26900	9319643	9321512	1869
150	AT1G26921	9330944	9331201	257
151	AT1G26940	9343112	9345323	2211
152	AT1G26970	9359325	9361833	2508
153	AT1G26976	9364749	9365610	861
154	AT1G27000	9373885	9376828	2943
155	AT1G27008	9376788	9377491	703
156	AT1G27020	9378404	9380790	2386
157	AT1G27030	9381527	9384060	2533
158	AT1G27040	9386693	9390042	3349
159	AT1G27050	9393653	9394716	1063
160	AT1G27070	9396658	9399500	2842
161	AT1G27090	9403753	9406369	2616
162	AT1G27100	9407085	9411368	4283
163	AT1G27110	9412783	9417604	4821
164	AT1G27120	9421009	9424084	3075
165	AT1G27135	9427164	9427529	365
166	AT1G27150	9429008	9432310	3302
167	AT1G27160	9432418	9433190	772
168	AT1G27170	9433393	9439417	6024
169	AT1G27180	9439653	9446223	6570
170	AT1G27190	9446597	9449046	2449
171	AT1G27200	9449338	9451768	2430
172	AT1G27210	9455277	9458176	2899
173	AT1G27220	9463806	9465444	1638
174	AT1G27240	9466237	9467076	839
175	AT1G27250	9468568	9469634	1066
176	AT1G27300	9483157	9484368	1211
177	AT1G27385	9510475	9512971	2496
178	AT1G27400	9515114	9517070	1956
179	AT1G27410	9517201	9519025	1824
