Gene Name	Gene Start (bp)	Gene End (bp)
AT1G23960	8478391	8480356
AT1G23965	8480422	8481599
AT1G23970	8481997	8483875
AT1G24020	8500119	8502065
AT1G23980	8484703	8486002
AT1G23985	8485337	8487029
AT1G23995	8487048	8487347
AT1G24030	8503217	8505460
AT1G24040	8503777	8506837
AT1G24050	8506968	8508909
AT1G24060	8509736	8510056
AT1G24062	8510401	8510967
AT1G24090	8520443	8523193
AT1G24095	8523225	8524929
AT1G24110	8527714	8529018
AT1G24120	8529064	8532262
AT1G24130	8534146	8535660
AT1G24145	8540838	8542053
AT1G24159	8552775	8553385
AT1G24160	8553313	8556750
AT1G24200	8571173	8572377
AT1G24210	8573544	8575184
AT1G24220	8578658	8582767
AT1G24230	8584039	8585135
AT1G24260	8593536	8596123
AT1G24240	8586335	8588180
AT1G24250	8588295	8589546
AT1G24256	8592078	8592989
AT1G24265	8600391	8603913
AT1G24267	8604022	8607484
AT1G24270	8607851	8608763
AT1G24290	8612505	8614283
AT1G24300	8614363	8620664
AT1G24310	8624014	8626405
AT1G24320	8626315	8631027
AT1G24330	8631206	8635055
AT1G24350	8638520	8640825
AT1G24340	8635187	8638986
AT1G24360	8640582	8643503
AT1G24380	8646056	8647674
AT1G24388	8648099	8648694
AT1G24420	8656021	8657997
AT1G24440	8661838	8664007
AT1G24475	8676282	8676343
AT1G24480	8676360	8677228
AT1G24485	8678858	8681894
AT1G24510	8685271	8688247
AT1G24530	8692630	8694705
AT1G24560	8702361	8705879
AT1G24570	8706800	8709782
AT1G24575	8710847	8711578
AT1G24577	8712478	8713225
AT1G24580	8709941	8710824
AT1G24660	8740205	8740469
AT2G04305	1501372	1503827
AT1G24735	8757864	8759645
AT1G24800	8769511	8771553
AT1G24807	8771370	8773535
AT1G24822	8774997	8777882
AT1G24851	8778280	8780257
AT1G24881	8784036	8785634
AT1G24909	8785785	8787914
AT1G25025	8800808	8801584
AT1G25097	8811733	8814788
AT1G25112	8815186	8815962
AT1G25141	8817678	8818395
AT1G25155	8822692	8824821
AT1G25180	8829564	8831390
AT1G25211	8835386	8837007
AT1G25230	8840203	8842445
AT1G25240	8845142	8846726
AT2G04340	1513490	1515594
AT1G25250	8849034	8851790
AT1G25260	8853534	8855874
AT1G25275	8860527	8861522
AT1G25277	8861734	8862797
AT1G25300	8871568	8872386
AT1G25320	8877790	8880388
AT1G25360	8894380	8897124
AT1G25370	8897564	8899111
AT1G25375	8900110	8903428
AT1G25390	8906029	8909334
AT1G25380	8903405	8906455
AT1G25400	8911096	8912822
AT1G25420	8915915	8918267
AT1G25422	8918789	8919892
AT1G25460	8942713	8944442
AT1G25480	8948232	8951031
AT1G25500	8955195	8958132
AT1G25510	8959087	8961183
AT1G25520	8962087	8964564
AT1G25530	8964544	8967562
AT1G25550	8976326	8978305
AT1G25570	8991708	8995617
AT1G25580	8996714	8999917
AT1G25682	9002285	9004762
AT1G25988	9016252	9017450
AT1G26090	9020380	9022769
AT1G26100	9022542	9024081
AT1G26110	9024341	9027955
AT1G26130	9033016	9039099
AT1G26140	9038708	9039540
AT1G26160	9044422	9047049
AT1G26170	9047292	9054703
AT1G26180	9054673	9056941
AT1G26190	9057095	9061140
AT1G26200	9063306	9065320
AT1G26220	9071140	9071861
AT1G26225	9072634	9072835
AT1G26240	9077874	9079646
AT1G26270	9089469	9092560
AT1G26290	9097643	9098964
AT1G26300	9095768	9099766
AT1G26320	9105038	9107231
AT1G26330	9107519	9113747
AT1G26350	9116010	9116781
AT1G26370	9121443	9125578
AT1G26450	9148636	9150250
AT1G26460	9151628	9154762
AT1G26470	9155091	9156370
AT1G26510	9159851	9161044
AT1G26515	9161810	9162910
AT1G26520	9163211	9165900
AT1G26530	9165360	9167570
AT1G26540	9167549	9170953
AT1G26550	9171118	9173033
AT1G26580	9184567	9187578
AT1G26590	9188945	9190896
AT1G26610	9193327	9195382
AT1G26620	9195512	9199671
AT1G26640	9207383	9209902
AT1G26650	9210051	9211588
AT1G26660	9211599	9214004
AT1G26665	9214072	9215557
AT1G26680	9219460	9223795
AT1G26690	9224059	9225792
AT1G26700	9227378	9232437
AT1G26710	9232328	9233206
AT1G26720	9234099	9234939
AT1G26730	9241036	9244918
AT1G26740	9244981	9246652
AT1G26762	9253599	9254167
AT1G26773	9264404	9264580
AT1G26790	9273684	9275193
AT1G26800	9285025	9286395
AT1G26815	9290870	9291301
AT1G26850	9300806	9304328
AT1G26880	9315305	9318277
AT1G26890	9317589	9319246
AT1G26900	9319643	9321512
AT1G26921	9330944	9331201
AT1G26940	9343112	9345323
AT1G26970	9359325	9361833
AT1G26976	9364749	9365610
AT1G27000	9373885	9376828
AT1G27008	9376788	9377491
AT1G27020	9378404	9380790
AT1G27030	9381527	9384060
AT1G27040	9386693	9390042
AT1G27050	9393653	9394716
AT1G27070	9396658	9399500
AT1G27090	9403753	9406369
AT1G27100	9407085	9411368
AT1G27110	9412783	9417604
AT1G27120	9421009	9424084
AT1G27135	9427164	9427529
AT1G27150	9429008	9432310
AT1G27160	9432418	9433190
AT1G27170	9433393	9439417
AT1G27180	9439653	9446223
AT1G27190	9446597	9449046
AT1G27200	9449338	9451768
AT1G27210	9455277	9458176
AT1G27220	9463806	9465444
AT1G27240	9466237	9467076
AT1G27250	9468568	9469634
AT1G27300	9483157	9484368
AT1G27385	9510475	9512971
AT1G27400	9515114	9517070
AT1G27410	9517201	9519025
AT1G27420	9519067	9520716
AT1G27430	9520825	9527280
AT1G27435	9527501	9528878
AT1G27460	9534488	9537614
AT1G27461	9537736	9539027
AT1G27470	9540049	9544303
AT1G27520	9558562	9562485
AT1G27480	9544410	9546285
AT1G27530	9562487	9564031
AT1G27535	9564726	9565134
AT1G27540	9565913	9567906
AT1G27550	9568813	9569330
AT1G27555	9570397	9570962
AT1G27565	9574550	9575189
AT1G27570	9575538	9582376
AT1G27580	9589807	9591075
AT1G27595	9592088	9602917
AT1G27610	9606968	9607996
AT1G27620	9608153	9610566
AT1G27640	9614463	9614906
AT1G27660	9621398	9626067
AT1G27670	9627533	9628749
AT1G27690	9636588	9638901
AT1G27695	9639024	9640204
AT1G27700	9639859	9641902
AT1G27720	9642486	9647620
AT1G27710	9642472	9643352
AT1G27750	9657173	9661994
AT1G27752	9662021	9667550
AT1G27820	9691628	9692560
AT1G27850	9698298	9703944
AT1G27860	9704558	9706238
AT1G27870	9706657	9707298
AT1G27880	9708861	9714366
AT1G27890	9714136	9715176
AT1G27900	9715342	9720629
AT1G27910	9720733	9724800
AT1G27930	9730959	9733000
AT1G27990	9752742	9753952
AT1G28020	9768889	9771157
AT1G28030	9771793	9773389
AT1G28040	9773580	9775481
AT1G28060	9778851	9782907
AT1G28070	9782847	9784091
AT1G28080	9789691	9791546
AT1G28100	9801082	9804394
AT1G28120	9812930	9815560
AT1G28135	9829261	9829584
AT1G28140	9831876	9834510
AT1G28150	9834642	9836210
AT1G28160	9839316	9840124
AT1G28190	9846747	9848015
AT1G28210	9854517	9860158
AT1G28240	9868257	9872278
AT1G28250	9874247	9875579
AT1G28260	9875527	9879433
AT1G28265	9879035	9879310
AT1G28280	9885400	9887478
AT1G28305	9904710	9905516
AT1G28306	9906882	9907725
AT1G28327	9931934	9933451
AT1G28340	9939961	9943616
AT1G28350	9943737	9949835
AT1G28375	9961055	9961745
AT1G28395	9969246	9971681
AT1G28400	9972185	9973942
AT1G28410	9976182	9979793
AT1G28490	10015856	10018047
AT1G28500	10018691	10020479
AT1G28510	10023817	10026311
AT1G28560	10038029	10041544
AT1G28530	10031985	10035638
AT1G28540	10035617	10037403
AT1G28570	10041576	10044258
AT1G28580	10044337	10046552
AT1G28590	10047276	10049343
AT1G28600	10050957	10053218
AT1G28610	10053443	10055881
AT1G28630	10058456	10063460
AT1G28640	10067563	10069177
AT1G28650	10069365	10071108
AT1G28660	10071609	10073549
AT1G28690	10080042	10081604
AT1G28695	10081871	10083122
AT1G28710	10086366	10089772
AT1G28960	10109500	10111738
AT1G28760	10103081	10104883
AT1G28765	10105047	10107645
AT1G28815	10095674	10096374
AT1G29000	10112564	10114491
AT1G29005	10114912	10115749
AT1G29030	10128999	10133992
AT1G29010	10117715	10119085
AT1G29020	10120300	10122973
