chr	source	type	start	end	score	strand	phase	attributes	Gene	te_dist
Chr1	TAIR10	gene	3631	5899	.	+	.	ID=AT1G01010;Note=protein_coding_gene;Name=AT1G01010	AT1G01010	5998
Chr1	TAIR10	gene	5928	8737	.	-	.	ID=AT1G01020;Note=protein_coding_gene;Name=AT1G01020	AT1G01020	3160
Chr1	TAIR10	gene	11649	13714	.	-	.	ID=AT1G01030;Note=protein_coding_gene;Name=AT1G01030	AT1G01030	0
Chr1	TAIR10	gene	23146	31227	.	+	.	ID=AT1G01040;Note=protein_coding_gene;Name=AT1G01040	AT1G01040	4222
Chr1	TAIR10	gene	28500	28706	.	+	.	ID=AT1G01046;Note=miRNA;Name=AT1G01046	AT1G01046	9576
Chr1	TAIR10	gene	31170	33153	.	-	.	ID=AT1G01050;Note=protein_coding_gene;Name=AT1G01050	AT1G01050	12246
Chr1	TAIR10	gene	33379	37871	.	-	.	ID=AT1G01060;Note=protein_coding_gene;Name=AT1G01060	AT1G01060	14455
Chr1	TAIR10	gene	38752	40944	.	-	.	ID=AT1G01070;Note=protein_coding_gene;Name=AT1G01070	AT1G01070	14732
Chr1	TAIR10	gene	44677	44787	.	+	.	ID=AT1G01073;Note=protein_coding_gene;Name=AT1G01073	AT1G01073	10889
Chr1	TAIR10	gene	45296	47019	.	-	.	ID=AT1G01080;Note=protein_coding_gene;Name=AT1G01080	AT1G01080	8657
Chr1	TAIR10	gene	47485	49286	.	-	.	ID=AT1G01090;Note=protein_coding_gene;Name=AT1G01090	AT1G01090	6390
Chr1	TAIR10	gene	50075	51199	.	-	.	ID=AT1G01100;Note=protein_coding_gene;Name=AT1G01100	AT1G01100	4477
Chr1	TAIR10	gene	52239	54692	.	+	.	ID=AT1G01110;Note=protein_coding_gene;Name=AT1G01110	AT1G01110	984
Chr1	TAIR10	gene	56624	56740	.	+	.	ID=AT1G01115;Note=protein_coding_gene;Name=AT1G01115	AT1G01115	48
Chr1	TAIR10	gene	57269	59167	.	-	.	ID=AT1G01120;Note=protein_coding_gene;Name=AT1G01120	AT1G01120	693
Chr1	TAIR10	gene	61905	63811	.	-	.	ID=AT1G01130;Note=protein_coding_gene;Name=AT1G01130	AT1G01130	5329
Chr1	TAIR10	gene	64166	67625	.	-	.	ID=AT1G01140;Note=protein_coding_gene;Name=AT1G01140	AT1G01140	7590
Chr1	TAIR10	gene	70115	72138	.	-	.	ID=AT1G01150;Note=protein_coding_gene;Name=AT1G01150	AT1G01150	4706
Chr1	TAIR10	gene	72339	74096	.	+	.	ID=AT1G01160;Note=protein_coding_gene;Name=AT1G01160	AT1G01160	2748
Chr1	TAIR10	gene	73931	74737	.	-	.	ID=AT1G01170;Note=protein_coding_gene;Name=AT1G01170	AT1G01170	2107
Chr1	TAIR10	gene	75583	76758	.	+	.	ID=AT1G01180;Note=protein_coding_gene;Name=AT1G01180	AT1G01180	86
Chr1	TAIR10	gene	78932	79032	.	-	.	ID=AT1G01183;Note=miRNA;Name=AT1G01183	AT1G01183	147
Chr1	TAIR10	gene	83045	84864	.	-	.	ID=AT1G01190;Note=protein_coding_gene;Name=AT1G01190	AT1G01190	4260
Chr1	TAIR10	gene	86515	88213	.	-	.	ID=AT1G01200;Note=protein_coding_gene;Name=AT1G01200	AT1G01200	7730
Chr1	TAIR10	gene	88898	89745	.	+	.	ID=AT1G01210;Note=protein_coding_gene;Name=AT1G01210	AT1G01210	10113
Chr1	TAIR10	gene	91376	95651	.	+	.	ID=AT1G01220;Note=protein_coding_gene;Name=AT1G01220	AT1G01220	12591
Chr1	TAIR10	gene	95987	97407	.	+	.	ID=AT1G01225;Note=protein_coding_gene;Name=AT1G01225	AT1G01225	17202
Chr1	TAIR10	gene	97456	99240	.	+	.	ID=AT1G01230;Note=protein_coding_gene;Name=AT1G01230	AT1G01230	18671
Chr1	TAIR10	gene	99894	101834	.	+	.	ID=AT1G01240;Note=protein_coding_gene;Name=AT1G01240	AT1G01240	21109
Chr1	TAIR10	gene	104491	105330	.	-	.	ID=AT1G01250;Note=protein_coding_gene;Name=AT1G01250	AT1G01250	25706
Chr1	TAIR10	gene	108946	111609	.	+	.	ID=AT1G01260;Note=protein_coding_gene;Name=AT1G01260	AT1G01260	30161
Chr1	TAIR10	gene	111890	111961	.	-	.	ID=AT1G01270;Note=tRNA;Name=AT1G01270	AT1G01270	33105
Chr1	TAIR10	gene	112263	113947	.	+	.	ID=AT1G01280;Note=protein_coding_gene;Name=AT1G01280	AT1G01280	33478
Chr1	TAIR10	gene	114286	116108	.	+	.	ID=AT1G01290;Note=protein_coding_gene;Name=AT1G01290	AT1G01290	35501
Chr1	TAIR10	gene	116943	118764	.	+	.	ID=AT1G01300;Note=protein_coding_gene;Name=AT1G01300	AT1G01300	35567
Chr1	TAIR10	gene	119397	119997	.	+	.	ID=AT1G01305;Note=protein_coding_gene;Name=AT1G01305	AT1G01305	34334
Chr1	TAIR10	gene	120154	121130	.	+	.	ID=AT1G01310;Note=protein_coding_gene;Name=AT1G01310	AT1G01310	33201
Chr1	TAIR10	gene	121067	130577	.	-	.	ID=AT1G01320;Note=protein_coding_gene;Name=AT1G01320	AT1G01320	23754
Chr1	TAIR10	gene	132328	135831	.	-	.	ID=AT1G01340;Note=protein_coding_gene;Name=AT1G01340	AT1G01340	18500
Chr1	TAIR10	gene	136124	138162	.	+	.	ID=AT1G01350;Note=protein_coding_gene;Name=AT1G01350	AT1G01350	16169
Chr1	TAIR10	gene	138513	139568	.	+	.	ID=AT1G01355;Note=protein_coding_gene;Name=AT1G01355	AT1G01355	14763
